1;Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...;ham
2;Ok lar... Joking wif u oni...;ham
3;Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's;spam
4;U dun say so early hor... U c already then say...;ham
5;Nah I don't think he goes to usf, he lives around here though;ham
6;FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv;spam
7;Even my brother is not like to speak with me. They treat me like aids patent.;ham
8;As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune;ham
9;WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.;spam
10;Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030;spam
11;I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.;ham
12;SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info;spam
13;URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18;spam
14;I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.;ham
15;I HAVE A DATE ON SUNDAY WITH WILL!!;ham
16;XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL;spam
17;Oh k...i'm watching here:);ham
18;Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.;ham
19;Fine if thats the way u feel. Thats the way its gota b;ham
20;England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+;spam
21;Is that seriously how you spell his name?;ham
22;I‘m going to try for 2 months ha ha only joking;ham
23;So ü pay first lar... Then when is da stock comin...;ham
24;Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?;ham
25;Ffffffffff. Alright no way I can meet up with you sooner?;ham
26;Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol;ham
27;Lol your always so convincing.;ham
28;Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?;ham
29;I'm back &amp; we're packing the car now, I'll let you know if there's room;ham
30;Ahhh. Work. I vaguely remember that! What does it feel like? Lol;ham
31;Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us;ham
32;Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ;ham
33;K tell me anything about you.;ham
34;For fear of fainting with the of all that housework you just did? Quick have a cuppa;ham
35;Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged;spam
36;Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am;ham
37;Oops, I'll let you know when my roommate's done;ham
38;I see the letter B on my car;ham
39;Anything lor... U decide...;ham
40;Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!;ham
41;Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola;ham
42;Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy;ham
43;07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow;spam
44;WHO ARE YOU SEEING?;ham
45;Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...;ham
46;No calls..messages..missed calls;ham
47;Didn't you get hep b immunisation in nigeria.;ham
48;Fair enough, anything going on?;ham
